ChangeId,OpportunityCode,AccountName,OpportunityName,FieldChanged,OldValue,NewValue,ChangeDate,ChangedByFullName,ChangedByEmail
CHG-000001,0060343DP05N0UH6QV,Redstone Transport Co Ltd.,Redstone Transport Co Ltd. - Security Assessment,ForecastCategory,Not Set,Omitted,2026-02-22,Frank Green,frank.green@global.ntt
CHG-000002,0060343DP05N0UH6QV,Redstone Transport Co Ltd.,Redstone Transport Co Ltd. - Security Assessment,Confidence,0.00,0.05,2026-02-22,Frank Green,frank.green@global.ntt
CHG-000003,0060343DP05N0UH6QV,Redstone Transport Co Ltd.,Redstone Transport Co Ltd. - Security Assessment,SFDC_ACV_Revenue,0,188029.35,2026-02-22,Frank Green,frank.green@global.ntt
CHG-000004,0060343DP05N0UH6QV,Redstone Transport Co Ltd.,Redstone Transport Co Ltd. - Security Assessment,SFDC_ACV_Gp,0,30446.54,2026-02-22,Frank Green,frank.green@global.ntt
CHG-000005,0060343DP05N0UH6QV,Redstone Transport Co Ltd.,Redstone Transport Co Ltd. - Security Assessment,SFDC_ACV_Revenue,188029.35,171091.46,2026-02-22,Frank Green,frank.green@global.ntt
CHG-000006,0060343DP05N0UH6QV,Redstone Transport Co Ltd.,Redstone Transport Co Ltd. - Security Assessment,SFDC_ACV_Gp,30446.54,27703.88,2026-02-22,Frank Green,frank.green@global.ntt
CHG-000007,00603RWH2ASHVK8E3Y,Redstone Manufacturing Inc.,Redstone Manufacturing Inc. - Endpoint Protection,ForecastCategory,Not Set,Omitted,2026-05-28,Timothy Green,timothy.green@global.ntt
CHG-000008,00603RWH2ASHVK8E3Y,Redstone Manufacturing Inc.,Redstone Manufacturing Inc. - Endpoint Protection,SFDC_ACV_Revenue,0,20545.9,2026-05-28,Timothy Green,timothy.green@global.ntt
CHG-000009,00603RWH2ASHVK8E3Y,Redstone Manufacturing Inc.,Redstone Manufacturing Inc. - Endpoint Protection,SFDC_ACV_Gp,0,3188.65,2026-05-28,Timothy Green,timothy.green@global.ntt
CHG-000010,00603RWH2ASHVK8E3Y,Redstone Manufacturing Inc.,Redstone Manufacturing Inc. - Endpoint Protection,OpportunityStage,Identification,Requirements Definition,2026-06-18,Timothy Green,timothy.green@global.ntt
CHG-000011,00603RWH2ASHVK8E3Y,Redstone Manufacturing Inc.,Redstone Manufacturing Inc. - Endpoint Protection,OpportunityStage,Requirements Definition,Qualification,2026-06-19,Timothy Green,timothy.green@global.ntt
