OpportunityGlobalRegionName,OpportunityCountry,AccountCode,AccountName,AccountGroup,AccountIndustry,OpportunityCode,OpportunityLineCode,OpportunityName,OpportunityStage,Confidence,ForecastCategory,OpportunityCreateDate,OpportunityCloseDate,AccountOwnerFullName,AccountOwnerEmailAdress,OpportunityOwnerFullName,OpportunityOwnerEmailAdress,ProductBusinessUnit,ServiceCategory,OrderType,ContractTermMonths,SFDC_ACV_Revenue,SFDC_ACV_Gp,SFDC_TCV_Revenue,SFDC_TCV_Gp,GM_Percent,Quarter,Month,QuarterlyBudget_ACVRevenue,QuarterlyBudget_ACVGp,QuarterlyGap_ACVGP,QuarterlyTotalPipeline_ACVGP,TP_RAGStatus,QuarterlyQualifiedPipeline_ACVGP,QP_RAGStatus,LOBPortfolioQuarterlyBudget_ACVRevenue,LOBPortfolioQuarterlyBudget_ACVGp,MonthlyBudget_ACVRevenue,MonthlyBudget_ACVGp,MonthlyClosedPlusCommit_ACVGP,ClosedCommit_RAGStatus,LOBPortfolioMonthlyBudget_ACVRevenue,LOBPortfolioMonthlyBudget_ACVGp
North America,United States,0015LV2PPL0VSADA44,Cobalt Holdings Co.,,Transportation & Logistics,006G3L1LOYM3BACJBN,00kI5WVK5ESJQBY0ZZ,Cobalt Holdings Co. - Network Refresh,Deal Won,0.98,Closed,2026-04-14,2026-06-04,Brian Thompson,brian.thompson@global.ntt,Brian Thompson,brian.thompson@global.ntt,Digital Workplace,Product,New Business,,30098.72,3246.56,30098.72,3246.56,10.79,FY26-Q1,2026-06,5553854.18,692006.1900000001,-340122.65,369766.22,Green,146957.21,Green,265402.76,21232.22,2054926.04,256042.26,295351.88,Green,98199.02,7855.92
North America,United States,0015LV2PPL0VSADA44,Cobalt Holdings Co.,,Transportation & Logistics,006G3L1LOYM3BACJBN,00kXKEEQVA0I3Z0HXY,Cobalt Holdings Co. - Network Refresh,Deal Won,0.98,Closed,2026-04-14,2026-06-04,Brian Thompson,brian.thompson@global.ntt,Brian Thompson,brian.thompson@global.ntt,Digital Workplace,Technical Services,New Business,,8029.14,1192.66,8029.14,1192.66,14.85,FY26-Q1,2026-06,5553854.18,692006.1900000001,-340122.65,369766.22,Green,146957.21,Green,56676.14,17002.84,2054926.04,256042.26,295351.88,Green,20970.17,6291.05
North America,United States,001W2H6YCE7HDQSUX9,"Douglas, State Dept of Technology",,Public Sector,0067ZZK1SC895RIA06,00k3ZA2FCUROOM702T,Douglas - Cisco IE3300,Deal Lost,0.0,Omitted,2026-05-15,2026-08-28,Cynthia Turner,cynthia.turner@global.ntt,Cynthia Turner,cynthia.turner@global.ntt,Networking,Product,New Business,,15310.16,1842.88,15310.16,1842.88,12.04,FY26-Q2,2026-08,6533946.069999999,814124.93,-565926.61,267746.31,Green,146056.66,Green,3561855.03,284948.4,2156202.22,268661.22,531309.38,Green,1175412.16,94032.97
North America,United States,001ZOQPJE3DLYEX0XK,Clearwater Financial Group Co.,Clearwater Transport Co Co.,Insurance,006TQO1SZS9Q2W25IK,00k2QLV6KRI3TK6IEJ,Clearwater Financial Group Co. - Cloud Connectivity,Deal Won,0.92,Closed,2026-07-25,2026-09-05,Frank Scott,frank.scott@global.ntt,Susan Roberts,susan.roberts@global.ntt,Networking,Technical Services,New Business,,12235.14,2010.76,12235.14,2010.76,16.43,FY26-Q2,2026-09,6533946.069999999,814124.93,-565926.61,267746.31,Green,146056.66,Green,760625.76,228187.73,2417560.03,301226.22,599343.05,Green,281431.53,84429.46
North America,United States,001ZOQPJE3DLYEX0XK,Clearwater Financial Group Co.,Clearwater Transport Co Co.,Insurance,006TQO1SZS9Q2W25IK,00kL8Z2LXON74MAT87,Clearwater Financial Group Co. - Cloud Connectivity,Deal Won,0.92,Closed,2026-07-25,2026-09-05,Frank Scott,frank.scott@global.ntt,Susan Roberts,susan.roberts@global.ntt,Digital Workplace,Product,New Business,,1992.77,382.52,1992.77,382.52,19.2,FY26-Q2,2026-09,6533946.069999999,814124.93,-565926.61,267746.31,Green,146056.66,Green,312238.54,24979.08,2417560.03,301226.22,599343.05,Green,115528.26,9242.26
North America,United States,0017EE7NAK4MCZHMAV,Westfall Financial Group Co.,,Retail & Consumer Goods,006GE8JYMR9VPOIUUD,00kJFV6L5SJ8WTFTIP,Westfall Financial Group Co. - Security Assessment,Deal Lost,0.0,Omitted,2026-01-01,2026-04-01,Steven Cook,steven.cook@global.ntt,Steven Cook,steven.cook@global.ntt,Networking,VBR,New Business,,279.78,126.96,279.78,126.96,45.38,FY26-Q1,2026-04,5553854.18,692006.1900000001,-340122.65,369766.22,Green,146957.21,Green,13363.2,400.9,1666156.26,207601.83,501687.68,Green,4008.96,120.27
North America,United States,0017EE7NAK4MCZHMAV,Westfall Financial Group Co.,,Retail & Consumer Goods,006GE8JYMR9VPOIUUD,00k7HS84K3QXJ3Q2I8,Westfall Financial Group Co. - Security Assessment,Deal Lost,0.0,Omitted,2026-01-01,2026-04-01,Steven Cook,steven_cook@global.ntt,Steven Cook,steven.cook@global.ntt,Data Center,Product,New Business,,38214.63,4438.33,38214.63,4438.33,11.61,FY26-Q1,2026-04,5553854.18,692006.1900000001,-340122.65,369766.22,Green,146957.21,Green,858553.55,68684.28,1666156.26,207601.83,501687.68,Green,257566.06,20605.28
North America,United States,001GPVSY2O3L9S0524,Beacon Logistics LLC,Beacon Manufacturing Co.,Financial Services,00661SVSU1BHC20BDJ,00kJ6HNPRI4W9MPUVG,Beacon Logistics LLC - SD-WAN Rollout,Deal Lost,0.0,Omitted,2026-01-06,2026-04-01,Melissa Adams,melissa.adams@global.ntt,Susan Edwards,susan.edwards@global.ntt,Data Center,Technical Services,New Business,,36465.57,8168.73,36465.57,8168.73,22.4,FY26-Q1,2026-04,5553854.18,692006.1900000001,-340122.65,369766.22,Green,146957.21,Green,183342.09,55002.63,1666156.26,207601.83,501687.68,Green,55002.63,16500.79
North America,United States,001PLVOF554NJB0L65,Harborview Media Group Group,,Manufacturing,006Z4XN2Z2VXMOJJXN,00k4CCNHKLGOB1YGFC,Harborview Media Group Group - Firewall Upgrade,Deal Lost,0.04,Omitted,2026-08-11,2026-08-21,Paul Martinez,paul.martinez@global.ntt,Paul Martinez,paul.martinez@global.ntt,Networking,Technical Services,Renewal,,19298.16,4123.54,19298.16,4123.54,21.37,FY26-Q2,2026-08,6533946.069999999,814124.93,-565926.61,267746.31,Green,146056.66,Green,760625.76,228187.73,2156202.22,268661.22,531309.38,Green,251006.5,75301.95
North America,United States,0014ZK03LE6FVIE1FY,Brightpath Solutions Inc.,,Insurance,006Z7VK43TEPPGOFYP,00kU7QJ344NB96S28C,Brightpath Solutions Inc. - Endpoint Protection,Deal Lost,0.05,Omitted,2026-06-05,2026-09-03,Karen Phillips,karen.phillips@global.ntt,Susan Roberts,susan.roberts@global.ntt,Networking,Product,New Business,,7601.92,1163.95,7601.92,1163.95,15.31,FY26-Q2,2026-09,6533946.069999999,814124.93,-565926.61,267746.31,Green,146056.66,Green,3561855.03,284948.4,2417560.03,301226.22,599343.05,Green,1317886.36,105430.91
